Rank,Tool_Name,Primary_Category,Sub_Category,Pricing_Model,Starting_Price_USD,Monthly_Traffic_Est,User_Rating,Agentic_Capability_Score,API_Available,Release_Year,Active_Users_Est,Description
1,ChatGPT,Conversational AI,General Assistant,Freemium,20,1800000000,4.8,9.5,Yes,2022,180000000,"OpenAI's flagship conversational AI for text, code, and reasoning"
2,Gemini,Conversational AI,Multimodal AI,Freemium,19.99,500000000,4.7,9.3,Yes,2023,90000000,Google's multimodal AI integrated with Google Workspace
3,Canva AI,Image Generation,Design Assistant,Freemium,15,500000000,4.6,6.0,Yes,2023,170000000,AI design tools integrated in Canva
4,Character.AI,Conversational AI,Roleplay & Chat,Freemium,9.99,300000000,4.3,6.0,No,2022,20000000,AI characters for entertainment and roleplay
5,Claude,Conversational AI,General Assistant,Freemium,20,200000000,4.8,9.4,Yes,2023,50000000,Anthropic's safety-focused AI assistant with long context
6,Google Workspace AI,Productivity,Office Suite AI,Freemium,12,200000000,4.4,7.5,Yes,2023,6000000,AI features across Google Docs Sheets Gmail
7,Perplexity AI,Research & Search,AI Search Engine,Freemium,20,100000000,4.6,8.5,Yes,2022,15000000,AI-powered answer engine with real-time web search
8,Grammarly,Writing & Content,Grammar & Style,Freemium,30,100000000,4.5,6.0,Yes,2009,30000000,"AI writing assistant for grammar, tone and style"
9,Microsoft 365 Copilot,Productivity,Office Suite AI,Paid,30,100000000,4.5,8.0,Yes,2023,345000,AI assistant across all Microsoft 365 apps
10,GitHub Copilot,Coding Assistant,Code Completion,Paid,10,80000000,4.6,8.0,Yes,2021,15000000,AI pair programmer integrated into VS Code and JetBrains
11,Teams Copilot,Productivity,Meeting AI,Paid,30,80000000,4.3,7.5,Yes,2023,300000,Microsoft Copilot integrated in Teams
12,HubSpot AI,Marketing,CRM & Marketing,Freemium,0,60000000,4.3,7.0,Yes,2023,194000,AI features in HubSpot's marketing platform
13,Midjourney,Image Generation,Art Generation,Paid,10,50000000,4.7,5.0,No,2022,16000000,Discord-based AI art generator known for stunning imagery
